Symbol,P/E Ratio,P/B Ratio,ROE,Market Cap,1y Return,GICS Sector,GICS Sub-Industry
MMM,13.150728,14.841623,1.1329399,68892155904.0,0.4143388146977661,Industrials,Industrial Conglomerates
AOS,18.21636,5.2227855,0.29544002,10010455040.0,-0.12828278313387412,Industrials,Building Products
ABT,34.106384,4.890603,0.14840001,194623766528.0,0.04585700556400382,Health Care,Health Care Equipment
ABBV,59.832756,50.313507,0.56407,303453274112.0,0.11477543952971546,Health Care,Biotechnology
ACN,32.463726,8.208855,0.26674998,232293892096.0,0.0791370517278944,Information Technology,IT Consulting & Other Services
ADBE,36.16869,13.677375,0.35355,196789207040.0,-0.23540223878392347,Information Technology,Application Software
AMD,107.415924,3.4570363,0.03262,196976672768.0,-0.12770389811361224,Information Technology,Semiconductors
AES,8.572917,2.6680355,-0.02549,8777628672.0,-0.35400518069392595,Utilities,Independent Power Producers & Energy Traders
AFL,15.130758,2.2831326,0.16038,56569417728.0,0.26386995428518295,Financials,Life & Health Insurance
A,30.090296,6.492937,0.24658,38016225280.0,-0.02544228511914417,Health Care,Life Sciences Tools & Services
APD,17.10377,3.8550189,0.2258,65610702848.0,0.08927130067578987,Materials,Industrial Gases
ABNB,44.895832,9.718882,0.20873,80783015936.0,-0.11800820144265287,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,28.218933,2.9967325,0.11541,14328651776.0,-0.19942926185959736,Information Technology,Internet Services & Infrastructure
ALB,,1.3331376,-0.17662,10672632832.0,-0.3825649084783918,Materials,Specialty Chemicals
ARE,60.109756,0.93205756,0.02132,17228038144.0,-0.2425080506117175,Real Estate,Office REITs
ALGN,36.48022,4.058582,0.11401,15986134016.0,-0.16027251727541364,Health Care,Health Care Supplies
ALLE,20.203077,7.266088,0.40822,11415556096.0,0.11742691520887254,Industrials,Building Products
LNT,22.856033,2.1631374,0.096540004,15072625664.0,0.16041096242432681,Utilities,Electric Utilities
ALL,12.339586,2.6782255,0.23783001,50516471808.0,0.37185393083355167,Financials,Property & Casualty Insurance
GOOGL,25.347479,7.4618354,0.32101002,2349323517952.0,0.441327196983593,Communication Services,Interactive Media & Services
GOOG,25.478807,7.5104437,0.32101002,2342871105536.0,0.4376121408159166,Communication Services,Interactive Media & Services
MO,8.967905,,,89977462784.0,0.27161677012186564,Consumer Staples,Tobacco
AMZN,48.21154,9.15149,0.22558,2372499668992.0,0.504500920492522,Consumer Discretionary,Broadline Retail
AMCR,17.915094,3.4998157,0.1958,13723503616.0,-0.010937551222739568,Materials,Paper & Plastic Packaging Products & Materials
AMTM,,,,4685996544.0,-0.3473398820908238,Industrials,Diversified Support Services
AEE,20.555294,1.9704523,0.09838,23318831104.0,0.21790041157034376,Utilities,Multi-Utilities
AEP,18.443548,1.8300028,0.10182,48719048704.0,0.11248935452244567,Utilities,Electric Utilities
AXP,21.712812,6.9877005,0.3469,207712632832.0,0.6334828780929141,Financials,Consumer Finance
AIG,14.214711,1.0005877,0.085,44599484416.0,0.08316918173157084,Financials,Multi-line Insurance
AMT,43.483173,23.211857,0.17691,84527906816.0,-0.14734855246844275,Real Estate,Telecom Tower REITs
AWK,24.71627,2.3429947,0.097040005,24277946368.0,-0.05449715601651447,Utilities,Water Utilities
AMP,20.222265,8.992413,0.56751,51282886656.0,0.39899424854513493,Financials,Asset Management & Custody Banks
AME,31.666958,4.4101195,0.14886,42117718016.0,0.11619567990984472,Industrials,Electrical Components & Equipment
AMGN,32.889668,18.412954,0.5572,138605576192.0,-0.06387729330532223,Health Care,Biotechnology
APH,40.197144,8.970288,0.25293,84808638464.0,0.41745775783711275,Information Technology,Electronic Components
ADI,63.935978,2.958788,0.04658,104078442496.0,0.04395659904631052,Information Technology,Semiconductors
ANSS,52.237423,5.0691605,0.10479999,29556011008.0,0.14385928635738152,Information Technology,Application Software
AON,30.316196,12.266912,0.82182,76512747520.0,0.1396772763333684,Financials,Insurance Brokers
APA,2.921875,1.4878843,0.6186,7609809920.0,-0.41793209946486326,Energy,Oil & Gas Exploration & Production
AAPL,41.399673,66.819756,1.5741299,3804798124032.0,0.27402944466567214,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,18.99186,7.1469827,0.4391,132899168256.0,0.008521178813319383,Information Technology,Semiconductor Materials & Equipment
APTV,6.318486,1.5011773,0.24212,13335943168.0,-0.3493118845847553,Consumer Discretionary,Automotive Parts & Equipment
ACGL,5.9989934,1.5617465,0.30441,33630390272.0,0.21744762143072247,Financials,Property & Casualty Insurance
ADM,13.991573,1.0588635,0.1075,23835779072.0,-0.3424422260951681,Consumer Staples,Agricultural Products & Services
ANET,52.361294,3.726592,0.33833998,137861955584.0,0.857981220809309,Information Technology,Communications Equipment
AJG,53.40267,5.0389857,0.10321999,69902368768.0,0.2559130633205854,Financials,Insurance Brokers
AIZ,14.997141,2.051109,0.15215,10760608768.0,0.28489194797714273,Financials,Multi-line Insurance
T,18.329432,1.5803449,0.08759,161768341504.0,0.36472153288017256,Communication Services,Integrated Telecommunication Services
ATO,20.334553,1.7695737,0.090179995,21582727168.0,0.2095888771640234,Utilities,Gas Utilities
ADSK,58.134922,33.80249,0.57445997,63144132608.0,0.20929468042033875,Information Technology,Application Software
ADP,31.260427,22.279518,0.87263,119093567488.0,0.24833434878291705,Industrials,Human Resource & Employment Services
AZO,21.576796,,,54268059648.0,0.22840889951807297,Consumer Discretionary,Automotive Retail
AVB,30.157787,2.6384954,0.08808,31399528448.0,0.17491620416160755,Real Estate,Multi-Family Residential REITs
AVY,22.493397,6.296035,0.30241,15054504960.0,-0.05263425890565365,Materials,Paper & Plastic Packaging Products & Materials
AXON,160.41667,22.319649,0.16424,46972956672.0,1.4064380431338876,Industrials,Aerospace & Defense
BKR,17.90583,2.439516,0.14292,39511773184.0,0.18910059940046323,Energy,Oil & Gas Equipment & Services
BALL,23.184416,2.4982085,0.14048,16605198336.0,-0.0477049337229813,Materials,"Metal, Glass & Plastic Containers"
BAC,15.836956,1.2357582,0.08092,335381594112.0,0.30089288897254984,Financials,Diversified Banks
BAX,116.6404,1.8909346,0.01627,14888797184.0,-0.24650903457308362,Health Care,Health Care Equipment
BDX,38.160137,2.5036325,0.05633,64763322368.0,-0.05489217673671014,Health Care,Health Care Equipment
BRK.B,,,,,,Financials,Multi-Sector Holdings
BBY,14.542808,5.991957,0.4241,18157694976.0,0.0984221500308797,Consumer Discretionary,Computer & Electronics Retail
TECH,74.936844,5.2886114,0.07287,11311521792.0,-0.06316614761548534,Health Care,Life Sciences Tools & Services
BIIB,13.332128,1.3121004,0.1047,21467324416.0,-0.4062789488365366,Health Care,Biotechnology
BLK,25.255987,3.6760962,0.1505,158459805696.0,0.24923076326884921,Financials,Asset Management & Custody Banks
BX,59.127586,18.789173,0.22041,207972532224.0,0.32542326422274415,Financials,Asset Management & Custody Banks
BK,17.18121,1.4831696,0.08563,55839592448.0,0.48750729155391465,Financials,Asset Management & Custody Banks
BA,,,,133815771136.0,-0.32320728708107616,Industrials,Aerospace & Defense
BKNG,33.7808,,,165256462336.0,0.43517325316010497,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BWA,7.856436,1.1276112,0.15923999,6941537792.0,-0.08950088309255291,Consumer Discretionary,Automotive Parts & Equipment
BSX,73.264465,6.3078127,0.08916,130655035392.0,0.5884250016934084,Health Care,Health Care Equipment
